Year,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
State,Total,"Clinton, Hillary","Trump, Donald","Johnson, Gary",Total,"Obama, Barack","Romney, Mitt",Total,"Obama, Barack","McCain, John",Total,"Kerry, John","Bush, George W.",Total,"Gore, Al","Bush, George W.","Nader, Ralph",Total,"Clinton, Bill","Dole, Bob","Perot, Ross",Total,"Clinton, Bill","Bush, George H.W.","Perot, Ross",Total,"Dukakis, Michael","Bush, George H.W.",Total,"Mondale, Walter","Reagan, Ronald",Total,"Carter, Jimmy","Reagan, Ronald","Anderson, John",Total,"Carter, Jimmy","Ford, Gerald",Total,"McGovern, George","Nixon, Richard",Total,"Humphrey, Hubert","Nixon, Richard","Wallace, George",Total,"Johnson, Lyndon (LBJ)","Goldwater, Barry",Total,"Kennedy, Jack (JFK)","Nixon, Richard","Other (Unpledge Democratic, etc.)",Total,"Stevenson, Adlai","Eisenhower, Dwight","Other (Unpledged Democratic, etc.)",Total,"Stevenson, Adlai","Eisenhower, Dwight",Total,"Truman, Harry","Dewey, Thomas","Thurmond, Strom","Wallace, Henry",Total,"Roosevelt, Franklin (FDR)","Dewey, Thomas",Total,"Roosevelt, Franklin (FDR)","Wilkie, Wendell",Total,"Roosevelt, Franklin (FDR)","Landon, Alf",Total,"Roosevelt, Franklin (FDR)","Hoover, Herbert","Thomas, Norman",Total,"Smith, Al","Hoover, Herbert",Total,"Davis, John","Coolidge, Calvin","LaFollette, Robert",Total,"Cox, John","Harding, Warren","Debs, Eugene",Total,"Wilson, Woodrow","Hughes, Charles","Benson, Allan",Total,"Wilson, Woodrow","Taft, William","Roosevelt, Theodore ""Teddy""","Debs, Eugene",Total,"Bryan, William","Taft, William","Debs, Eugene",Total,"Parker, Alton","Roosevelt, Theodore (Teddy)","Debs, Eugene",Total,"Bryan, William","McKinley, William",Total,"Bryan, William","McKinley, William",Total,"Cleveland, Grover","Harrison, Benjamin","Weaver, James",Total,"Cleveland, Grover","Harrison, Benjamin",Total,"Cleveland, Grover","Blaine, James",Total,"Hancock, Winfield","Garfield, James","Weaver, James",Total,"Tilden, Samuel","Hayes, Rutherford",Total,"Greeley, Horace","Grant, Ulysses",Total,"Seymour, Horatio","Grant, Ulysses",Total,"McClellan, George","Lincoln, Abraham",Total,"Douglas, Stephen","Lincoln, Abraham","Breckinridge, John","Bell, John",Total,"Buchanan, James","Fremont, John","Fillmore, Millard",Total,"Pierce, Franklin","Scott, Winfield","Hale, John",Total,"Cass, Lewis","Taylor, Zachary","Van Buren, Martin",Total,"Polk, James","Clay, Henry","Birney, James",Total,"Van Buren, Martin","Harrison, William",Total,"Van Buren, Martin","Harrison, William","White, Hugh","Webster, Daniel",Total,"Jackson, Andrew","Clay, Henry","Wirt, William",Total,"Jackson, Andrew","Adams, John Quincy"
State,Total,Democratic,Republican,Libertarian,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Green,Total,Democratic,Republican,Reform,Total,Democratic,Republican,Independent,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Independent,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,American Independent,Total,Democratic,Republican,Total,Democratic,Republican,"Other (Unpledge Democratic, etc.)",Total,Democratic,Republican,"Other (Unpledged Democratic, etc.)",Total,Democratic,Republican,Total,Democratic,Republican,"States' Rights ""Dixiecrat""",Progressive,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Total,Democratic,Republican,Progressive,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,"Progressive ""Bull Moose""",Socialist,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Populist,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Greenback,Total,Democratic,Republican,Total,Liberal Republican/Democratic,Republican,Total,Democratic,Republican,Total,Democratic,National Union (Republican),Total,(Northern) Democratic,Republican,Southern Democratic,Constitutional Union,Total,Democratic,Republican,"Fillmore, Millard",Total,Democratic,Whig,Free Soil,Total,Democratic,Whig,Free Soil,Total,Democratic,Whig,Liberty,Total,Democratic,Whig,Total,Democratic,Whig,Whig,Whig,Total,Democratic,National Republican,Anti-Masonic,Total,Democratic,National Republican
Nationwide,1,0.48034,0.45941,0.03274,1,0.51006,0.4715,1,0.52862,0.45599,1,0.48263,0.50726,1,0.48384,0.47865,0.02735,1,0.49234,0.40715,0.08398,1,0.43006,0.37447,0.18907,1,0.45646,0.53373,1,0.40557,0.58773,1,0.41013,0.5075,0.06612,1,0.50075,0.48011,1,0.37525,0.60672,1,0.42721,0.4342,0.13526,1,0.61053,0.3847,1,0.49716,0.49552,0.00731,1,0.41966,0.57365,0.00669,1,0.44331,0.55181,1,0.49553,0.45069,0.0241,0.02372,1,0.53386,0.45893,1,0.54724,0.44775,1,0.60799,0.36543,1,0.57409,0.39649,0.02226,1,0.40794,0.58216,1,0.28819,0.54031,0.16615,1,0.3412,0.60348,0.03413,1,0.49246,0.46112,0.03183,1,0.41835,0.23183,0.27388,0.05987,1,0.43044,0.5157,0.02827,1,0.37588,0.56418,0.02978,1,0.45515,0.51644,1,0.4671,0.51024,1,0.46022,0.43013,0.08507,1,0.48628,0.47798,1,0.48851,0.48279,1,0.48216,0.48314,0.03321,1,0.5092,0.47919,1,0.43784,0.55585,1,0.47336,0.52663,1,0.44951,0.55032,1,0.29521,0.39647,0.18197,0.12624,1,0.45294,0.3309,0.2154,1,0.50827,0.43879,0.04931,1,0.4249,0.47283,0.10132,1,0.49543,0.48085,0.02295,1,0.46821,0.5287,1,0.50791,0.36592,0.09722,0.02742,1,0.54742,0.36932,0.07776,1,0.55934,0.43679
Alabama,1,0.34358,0.62083,0.02094,1,0.38359,0.60546,1,0.3874,0.60317,1,0.36844,0.6246,1,0.41589,0.56465,0.01097,1,0.43156,0.50122,0.06006,1,0.4088,0.47645,0.10847,1,0.39863,0.59165,1,0.38281,0.60542,1,0.47449,0.4875,0.01228,1,0.55727,0.42615,1,0.25537,0.72429,1,0.18723,0.13994,0.65855,1,0.0,0.69451,1,0.56389,0.4216,0.01451,1,0.56523,0.39385,0.04092,1,0.64553,0.35021,1,0.0,0.19039,0.79748,0.00708,1,0.81276,0.18199,1,0.85217,0.14338,1,0.86383,0.12823,1,0.84739,0.14133,0.00827,1,0.51328,0.48488,1,0.69686,0.25016,0.04952,1,0.61681,0.37106,0.00923,1,0.76043,0.21925,0.01466,1,0.6994,0.08244,0.19242,0.0257,1,0.70746,0.24309,0.01379,1,0.73353,0.20657,0.00784,1,0.60823,0.34825,1,0.66964,0.28612,1,0.59402,0.03949,0.36545,1,0.67004,0.32657,1,0.60366,0.38694,1,0.59993,0.37096,0.02911,1,0.59982,0.40017,1,0.4681,0.5319,1,0.48746,0.5125,1,0,0,1,0.15111,0.0,0.54003,0.30886,1,0.62078,0.0,0.37922,1,0.6089,0.34116,0.0,1,0.50557,0.49436,0.0,1,0.58989,0.41011,0.0,1,0.54384,0.45616,1,0.55336,0.0,0.44664,0.0,1,0.99965,0.00035,0.0,1,0.89892,0.10087
Alaska,1,0.36551,0.51282,0.05877,1,0.40813,0.54802,1,0.37889,0.59425,1,0.35517,0.61065,1,0.27666,0.58621,0.10067,1,0.33267,0.50801,0.10899,1,0.30287,0.39457,0.28425,1,0.36271,0.59591,1,0.29868,0.66654,1,0.26408,0.54348,0.0704,1,0.35653,0.57905,1,0.34622,0.58128,1,0.42646,0.45282,0.12072,1,0.65908,0.34092,1,0.49059,0.50941,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Arizona,1,0.4458,0.48083,0.04082,1,0.44449,0.53485,1,0.44912,0.53394,1,0.44319,0.54774,1,0.44673,0.50951,0.02975,1,0.46517,0.44294,0.0798,1,0.3652,0.38472,0.23789,1,0.38744,0.5995,1,0.32543,0.66421,1,0.28245,0.60609,0.08805,1,0.398,0.56366,1,0.30381,0.61639,1,0.35018,0.54775,0.09565,1,0.49453,0.50447,1,0.44363,0.5552,0.00118,1,0.38901,0.60995,0.00104,1,0.4165,0.5835,1,0.53794,0.43824,0.0,0.01869,1,0.58798,0.40896,1,0.63495,0.36011,1,0.69845,0.26927,1,0.6703,0.30532,0.02214,1,0.4223,0.57568,1,0.35471,0.4126,0.23269,1,0.44389,0.55611,0.0,1,0.57169,0.35373,0.0547,1,0.43521,0.12735,0.29293,0.13334,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Arkansas,1,0.33653,0.60574,0.02638,1,0.36879,0.60567,1,0.38865,0.58716,1,0.44548,0.54306,1,0.45864,0.51307,0.01456,1,0.53736,0.36801,0.07903,1,0.53208,0.35483,0.10428,1,0.42192,0.56368,1,0.38291,0.60467,1,0.47523,0.48134,0.02682,1,0.64936,0.3493,1,0.3071,0.68824,1,0.30332,0.31015,0.38653,1,0.56064,0.43407,1,0.50185,0.43058,0.06756,1,0.52457,0.45819,0.01724,1,0.55904,0.43764,1,0.61721,0.21016,0.16525,0.0031,1,0.69952,0.29843,1,0.79017,0.20983,1,0.81798,0.17857,1,0.85963,0.12907,0.00575,1,0.60293,0.39329,1,0.6121,0.29281,0.09509,1,0.5849,0.38727,0.02783,1,0.65966,0.28735,0.04115,1,0.55005,0.20451,0.17301,0.06517,1,0.57314,0.37296,0.03848,1,0.55346,0.4025,0.0156,1,0.63459,0.35037,1,0.73723,0.25117,1,0.593,0.3178,0.07988,1,0.54796,0.38045,1,0.57827,0.40705,1,0.56127,0.38657,0.03785,1,0.59916,0.39867,1,0.47827,0.52173,1,0.46317,0.53683,1,0,0,1,0.09893,0.0,0.53058,0.37049,1,0.67122,0.0,0.32878,1,0.6218,0.3782,0.0,1,0.55075,0.44925,0.0,1,0.6301,0.3699,0.0,1,0.56415,0.43585,1,0.64082,0.0,0.35918,0.0,1,0,0,0,1,0,0
California,1,0.61482,0.31492,0.03361,1,0.60159,0.37071,1,0.60917,0.36897,1,0.54303,0.44356,1,0.5345,0.41651,0.03818,1,0.51099,0.38209,0.06965,1,0.46007,0.32615,0.20626,1,0.47559,0.51127,1,0.41266,0.57515,1,0.35911,0.52694,0.08616,1,0.47569,0.49348,1,0.41538,0.54997,1,0.44739,0.47819,0.06719,1,0.59112,0.40795,1,0.49551,0.50099,0.0035,1,0.44273,0.55387,0.00339,1,0.42265,0.56829,1,0.47572,0.47128,0.00031,0.04734,1,0.56479,0.42971,1,0.57441,0.41343,1,0.66954,0.31696,1,0.58385,0.37386,0.02791,1,0.34195,0.64694,1,0.08231,0.572,0.33127,1,0.24277,0.66203,0.06787,1,0.46647,0.4627,0.04292,1,0.41808,0.00577,0.41834,0.11683,1,0.32978,0.55458,0.07413,1,0.26939,0.61838,0.08899,1,0.41342,0.54497,1,0.48511,0.49155,1,0.43832,0.43777,0.09388,1,0.46841,0.4966,1,0.45327,0.51967,1,0.48975,0.48887,0.02059,1,0.49081,0.50877,1,0.42509,0.56384,1,0.49761,0.50239,1,0.41399,0.58601,1,0.31712,0.32324,0.28348,0.07603,1,0.48381,0.18778,0.32828,1,0.53015,0.46832,0.00079,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Colorado,1,0.48157,0.43251,0.05184,1,0.51446,0.46085,1,0.5366,0.44707,1,0.47022,0.51694,1,0.42394,0.5075,0.05251,1,0.44426,0.45796,0.06595,1,0.40128,0.35869,0.23325,1,0.45282,0.53059,1,0.35123,0.63442,1,0.31068,0.55071,0.11029,1,0.42581,0.54051,1,0.34593,0.62606,1,0.41318,0.50462,0.07497,1,0.61265,0.38195,1,0.44907,0.54634,0.00458,1,0.39814,0.59492,0.00693,1,0.38963,0.60273,1,0.51877,0.46525,0.0,0.01187,1,0.46399,0.5321,1,0.4837,0.50924,1,0.60371,0.37093,1,0.54813,0.41429,0.02969,1,0.33941,0.64723,1,0.21983,0.57024,0.20436,1,0.3593,0.59321,0.02755,1,0.60744,0.34754,0.03414,1,0.42803,0.21877,0.27093,0.06152,1,0.47997,0.46879,0.03017,1,0.41083,0.55264,0.01766,1,0.55433,0.42036,1,0.84946,0.1386,1,0.0,0.41133,0.5707,1,0.40838,0.55219,1,0.41677,0.54246,1,0.4603,0.51264,0.0268,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Connecticut,1,0.54566,0.40927,0.02959,1,0.58057,0.40725,1,0.60589,0.38221,1,0.54314,0.43947,1,0.5591,0.38444,0.04416,1,0.52832,0.34691,0.10019,1,0.42214,0.35779,0.21578,1,0.46875,0.51978,1,0.3883,0.60732,1,0.38522,0.48156,0.12217,1,0.46897,0.52063,1,0.40129,0.58569,1,0.49478,0.44317,0.06102,1,0.67806,0.32086,1,0.5373,0.46269,1e-05,1,0.36261,0.63721,0.00018,1,0.4391,0.55703,1,0.4791,0.49547,0.0,0.01552,1,0.52302,0.46939,1,0.53438,0.46298,1,0.55323,0.40347,1,0.47398,0.48541,0.03447,1,0.45575,0.5363,1,0.27526,0.61535,0.10596,1,0.33027,0.62716,0.02832,1,0.46656,0.49802,0.02422,1,0.39159,0.35884,0.17925,0.05281,1,0.35923,0.59428,0.02691,1,0.38147,0.58123,0.02377,1,0.41074,0.56923,1,0.32536,0.6324,1,0.50059,0.46801,0.00492,1,0.48656,0.48438,1,0.48946,0.48011,1,0.48503,0.50506,0.00654,1,0.50704,0.48335,1,0.47594,0.52406,1,0.48508,0.51492,1,0.48618,0.51382,1,0.21505,0.53856,0.20507,0.04133,1,0.43567,0.53178,0.03255,1,0.49788,0.45461,0.04733,1,0.43352,0.48588,0.08021,1,0.46182,0.50811,0.03007,1,0.44447,0.55553,1,0.5065,0.4935,0.0,0.0,1,0.34322,0.55295,0.10383,1,0.22954,0.71364
