Year,Candidate,Party,State,Votes,Pct
2016,Total,Total,Nationwide,137098601,100.0
2016,"Clinton, Hillary",Democratic,Nationwide,65853625,48.03376877638598
2016,"Trump, Donald",Republican,Nationwide,62985106,45.94146515032637
2016,"Johnson, Gary",Libertarian,Nationwide,4489233,3.2744557327758583
2012,Total,Total,Nationwide,129235558,100.0
2012,"Obama, Barack",Democratic,Nationwide,65918507,51.006478418269374
2012,"Romney, Mitt",Republican,Nationwide,60934407,47.14987728067843
2008,Total,Total,Nationwide,131473705,100.0
2008,"Obama, Barack",Democratic,Nationwide,69499428,52.86184640495223
2008,"McCain, John",Republican,Nationwide,59950323,45.59871724920204
2004,Total,Total,Nationwide,122303590,100.0
2004,"Kerry, John",Democratic,Nationwide,59027115,48.262781983750436
2004,"Bush, George W.",Republican,Nationwide,62039572,50.72587975545117
2000,Total,Total,Nationwide,105425985,100.0
2000,"Gore, Al",Democratic,Nationwide,51009810,48.38447561101753
2000,"Bush, George W.",Republican,Nationwide,50462412,47.865250677999356
2000,"Nader, Ralph",Green,Nationwide,2883443,2.735040132657997
1996,Total,Total,Nationwide,96275640,100.0
1996,"Clinton, Bill",Democratic,Nationwide,47400125,49.23376775267347
1996,"Dole, Bob",Republican,Nationwide,39198755,40.71513313232714
1996,"Perot, Ross",Reform,Nationwide,8085402,8.39818047431313
1992,Total,Total,Nationwide,104426611,100.0
1992,"Clinton, Bill",Democratic,Nationwide,44909806,43.00609353299802
1992,"Bush, George H.W.",Republican,Nationwide,39104550,37.44692049807113
1992,"Perot, Ross",Independent,Nationwide,19743821,18.906886674700186
1988,Total,Total,Nationwide,91594686,100.0
1988,"Dukakis, Michael",Democratic,Nationwide,41809476,45.646180827564606
1988,"Bush, George H.W.",Republican,Nationwide,48886597,53.37274369825341
1984,Total,Total,Nationwide,92653233,100.0
1984,"Mondale, Walter",Democratic,Nationwide,37577352,40.556978729495604
1984,"Reagan, Ronald",Republican,Nationwide,54455472,58.77341808461233
1980,Total,Total,Nationwide,86509678,100.0
1980,"Carter, Jimmy",Democratic,Nationwide,35480115,41.01288528666122
1980,"Reagan, Ronald",Republican,Nationwide,43903230,50.749501113621065
1980,"Anderson, John",Independent,Nationwide,5719850,6.611803594968877
