Year,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
State,Total,"Clinton, Hillary","Trump, Donald","Johnson, Gary",Total,"Obama, Barack","Romney, Mitt",Total,"Obama, Barack","McCain, John",Total,"Kerry, John","Bush, George W.",Total,"Gore, Al","Bush, George W.","Nader, Ralph",Total,"Clinton, Bill","Dole, Bob","Perot, Ross",Total,"Clinton, Bill","Bush, George H.W.","Perot, Ross",Total,"Dukakis, Michael","Bush, George H.W.",Total,"Mondale, Walter","Reagan, Ronald",Total,"Carter, Jimmy","Reagan, Ronald","Anderson, John",Total,"Carter, Jimmy","Ford, Gerald",Total,"McGovern, George","Nixon, Richard",Total,"Humphrey, Hubert","Nixon, Richard","Wallace, George",Total,"Johnson, Lyndon (LBJ)","Goldwater, Barry",Total,"Kennedy, Jack (JFK)","Nixon, Richard","Other (Unpledge Democratic, etc.)",Total,"Stevenson, Adlai","Eisenhower, Dwight","Other (Unpledged Democratic, etc.)",Total,"Stevenson, Adlai","Eisenhower, Dwight",Total,"Truman, Harry","Dewey, Thomas","Thurmond, Strom","Wallace, Henry",Total,"Roosevelt, Franklin (FDR)","Dewey, Thomas",Total,"Roosevelt, Franklin (FDR)","Wilkie, Wendell",Total,"Roosevelt, Franklin (FDR)","Landon, Alf",Total,"Roosevelt, Franklin (FDR)","Hoover, Herbert","Thomas, Norman",Total,"Smith, Al","Hoover, Herbert",Total,"Davis, John","Coolidge, Calvin","LaFollette, Robert",Total,"Cox, John","Harding, Warren","Debs, Eugene",Total,"Wilson, Woodrow","Hughes, Charles","Benson, Allan",Total,"Wilson, Woodrow","Taft, William","Roosevelt, Theodore ""Teddy""","Debs, Eugene",Total,"Bryan, William","Taft, William","Debs, Eugene",Total,"Parker, Alton","Roosevelt, Theodore (Teddy)","Debs, Eugene",Total,"Bryan, William","McKinley, William",Total,"Bryan, William","McKinley, William",Total,"Cleveland, Grover","Harrison, Benjamin","Weaver, James",Total,"Cleveland, Grover","Harrison, Benjamin",Total,"Cleveland, Grover","Blaine, James",Total,"Hancock, Winfield","Garfield, James","Weaver, James",Total,"Tilden, Samuel","Hayes, Rutherford",Total,"Greeley, Horace","Grant, Ulysses",Total,"Seymour, Horatio","Grant, Ulysses",Total,"McClellan, George","Lincoln, Abraham",Total,"Douglas, Stephen","Lincoln, Abraham","Breckinridge, John","Bell, John",Total,"Buchanan, James","Fremont, John","Fillmore, Millard",Total,"Pierce, Franklin","Scott, Winfield","Hale, John",Total,"Cass, Lewis","Taylor, Zachary","Van Buren, Martin",Total,"Polk, James","Clay, Henry","Birney, James",Total,"Van Buren, Martin","Harrison, William",Total,"Van Buren, Martin","Harrison, William","White, Hugh","Webster, Daniel",Total,"Jackson, Andrew","Clay, Henry","Wirt, William",Total,"Jackson, Andrew","Adams, John Quincy"
State,Total,Democratic,Republican,Libertarian,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Green,Total,Democratic,Republican,Reform,Total,Democratic,Republican,Independent,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Independent,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,American Independent,Total,Democratic,Republican,Total,Democratic,Republican,"Other (Unpledge Democratic, etc.)",Total,Democratic,Republican,"Other (Unpledged Democratic, etc.)",Total,Democratic,Republican,Total,Democratic,Republican,"States' Rights ""Dixiecrat""",Progressive,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Total,Democratic,Republican,Progressive,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,"Progressive ""Bull Moose""",Socialist,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Socialist,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Populist,Total,Democratic,Republican,Total,Democratic,Republican,Total,Democratic,Republican,Greenback,Total,Democratic,Republican,Total,Liberal Republican/Democratic,Republican,Total,Democratic,Republican,Total,Democratic,National Union (Republican),Total,(Northern) Democratic,Republican,Southern Democratic,Constitutional Union,Total,Democratic,Republican,"Fillmore, Millard",Total,Democratic,Whig,Free Soil,Total,Democratic,Whig,Free Soil,Total,Democratic,Whig,Liberty,Total,Democratic,Whig,Total,Democratic,Whig,Whig,Whig,Total,Democratic,National Republican,Anti-Masonic,Total,Democratic,National Republican
Nationwide,137098601,65853625,62985106,4489233,129235558,65918507,60934407,131473705,69499428,59950323,122303590,59027115,62039572,105425985,51009810,50462412,2883443,96275640,47400125,39198755,8085402,104426611,44909806,39104550,19743821,91594686,41809476,48886597,92653233,37577352,54455472,86509678,35480115,43903230,5719850,81540780,40831881,39148634,77744030,29173222,47168710,73199999,31271839,31783783,9901118,70641539,43129040,27175754,68832483,34220984,34108157,503342,62021979,26028028,35579180,414771,61751942,27375090,34075529,48794710,24179347,21991292,1175946,1157328,47977092,25612916,22017929,49912852,27314449,22348343,45654388,27757431,16683574,39752454,22821513,15761532,884895,36808961,15015863,21428584,29092624,8384341,15719068,4833821,26788225,9140256,16166126,914191,18541318,9130861,8549700,590190,15045546,6294284,3487937,4120609,900742,14889239,6408979,7678335,420852,13525095,5083880,7630557,402810,13997429,6370932,7228864,13938674,6510807,7112138,12068027,5553898,5190799,1026595,11388846,5538163,5443633,10060145,4914482,4856903,9217410,4444267,4453337,306135,8418659,4286808,4034142,6471983,2833710,3597439,5722816,2708980,3013790,4018202,1806227,2211317,4681267,1381944,1855993,851844,590946,4051605,1835140,1340668,872703,3159640,1605943,1386418,155799,2876818,1222353,1360235,291475,2703864,1339570,1300157,62054,2412694,1129645,1275583,1502811,763291,549907,146107,41201,1283720,702735,474107,99817,1149216,642806,501967
Alabama,2123372,729547,1318255,44467,2074338,795696,1255925,2099819,813479,1266546,1883449,693933,1176394,1672551,695602,944409,18349,1534349,662165,769044,92149,1688060,690080,804283,183109,1378476,549506,815576,1441713,551899,872849,1341929,636730,654192,16481,1182850,659170,504070,1006093,256923,728701,1049917,196579,146923,691425,689817,0,479085,564473,318303,237981,8189,496871,280844,195694,20333,426120,275075,149231,214980,0,40930,171443,1522,244743,198918,44540,294219,250726,42184,275744,238196,35358,245354,207910,34675,2030,248981,127796,120725,162355,113138,40615,8040,260307,160560,96589,2402,130728,99409,28662,1916,117869,82438,9717,22680,3029,105152,74391,25561,1450,108785,79797,22472,853,159692,97129,55612,194580,130298,55673,232543,138135,9184,84984,175085,117314,57177,153624,92736,59444,151902,91130,56350,4422,171699,102989,68708,169716,79444,90272,149594,72921,76667,,,,90122,13618,0,48669,27835,75291,46739,0,28552,44147,26881,15061,0,61659,31173,30482,0,63403,37401,26002,0,62511,33996,28515,37296,20638,0,16658,0,14291,14286,5,0,18618,16736,1878
Alaska,318608,116454,163387,18725,300495,122640,164676,326197,123594,193841,312598,111025,190889,285560,79004,167398,28747,241620,80380,122746,26333,258506,78294,102000,73481,200116,72584,119251,207605,62007,138377,158445,41842,86112,11155,123574,44058,71555,95219,32967,55349,83035,35411,37600,10024,67259,44329,22930,60762,29809,30953,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,2604657,1161167,1252401,106327,2306559,1025232,1233654,2303838,1034707,1230111,2016102,893524,1104294,1534113,685341,781652,45645,1404405,653288,622073,112072,1487006,543050,572086,353741,1171873,454029,702541,1025897,333854,681416,873945,246843,529688,76952,742719,295602,418642,653505,198540,402812,486936,170514,266721,46573,480770,237753,242535,398491,176781,221241,469,290173,112880,176990,303,260570,108528,152042,177065,95251,77597,0,3310,137634,80926,56287,150039,95267,54030,124163,86722,33433,118251,79264,36104,2618,91254,38537,52533,73961,26235,30516,17210,66562,29546,37016,0,58021,33170,20524,3174,23722,10324,3021,6949,3163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,1130635,380494,684872,29829,1069468,394409,647744,1086617,422310,638017,1054945,469953,572898,921781,422768,472940,13421,884262,475171,325416,69884,950653,505823,337324,99132,827738,349237,466578,884406,338646,534774,837582,398041,403164,22468,769396,499614,268753,647666,198899,445751,609590,184901,189062,235627,560426,314197,243264,428509,215049,184508,28952,406572,213277,186287,7008,404800,226300,177155,242475,149659,50959,40068,751,212954,148965,63551,200743,158622,42121,179423,146765,32039,220562,189602,28467,1269,197693,119196,77751,138532,84795,40564,13173,183637,107409,71117,5111,170104,112211,48879,6999,125104,68814,25585,21644,8153,151822,87015,56624,5842,116421,64434,46860,1816,127866,81142,44800,149347,110103,37512,148117,87834,47072,11831,157058,86062,59752,125779,72734,51198,107772,60489,41661,4079,96946,58086,38649,79300,37927,41373,41190,19078,22112,,,,54152,5357,0,28732,20063,32642,21910,0,10732,19577,12173,7404,0,16888,9301,7587,0,15150,9546,5604,0,11839,6679,5160,3714,2380,0,1334,0,,,,,,,
California,14237884,8753788,4483810,478500,13055815,7854285,4839958,13583083,8274473,5011781,12421859,6745485,5509826,10965856,5861203,4567429,418707,10019484,5119835,3828380,697847,11131721,5121325,3630574,2296006,9887064,4702233,5054917,9505423,3922519,5467009,8587063,3083661,4524858,739833,7867117,3742284,3882244,8367862,3475847,4602096,7251587,3244318,3467664,487270,7057586,4171877,2879108,6506578,3224099,3259722,22757,5466355,2420135,3027668,18552,5341603,2257646,3035587,4021538,1913134,1895269,1228,190381,3520875,1988564,1512965,3268791,1877618,1351419,2638882,1766836,836431,2267966,1324157,847902,63299,1796656,614365,1162323,1281900,105514,733250,424649,944050,229191,624992,64076,999603,466289,462516,42898,677944,283436,3914,283610,79201,386597,127492,214398,28659,331878,89404,205226,29535,302318,124985,164755,298419,144766,146688,269609,118174,118027,25311,251339,117729,124816,196988,89288,102369,164218,80426,80282,3381,155784,76460,79258,95785,40717,54007,108656,54068,54588,105890,43837,62053,119827,37999,38733,33969,9111,110255,53342,20704,36195,76810,40721,35972,61,,,,,,,,,,,,,,,,,,,,,,,
Colorado,2780247,1338870,1202484,144121,2571846,1323102,1185243,2401462,1288633,1073629,2130325,1001725,1101256,1741365,738227,883745,91434,1510704,671152,691848,99629,1569180,629681,562850,366010,1372394,621453,728177,1295381,454974,821818,1184415,367973,652264,130633,1081135,460353,584367,953884,329980,597189,811199,335174,409345,60813,776986,476024,296767,736246,330629,402242,3375,663074,263997,394479,4598,630103,245504,379782,515237,267288,239714,0,6115,505039,234331,268731,549004,265554,279576,488684,295021,181267,457696,250877,189617,13591,392242,133131,253872,342260,75238,195171,69945,292053,104936,173248,8046,294375,178816,102308,10049,266880,114232,58386,72306,16418,263858,126644,123693,7960,243667,100105,134661,4304,221408,122733,93072,189539,161005,26271,93891,0,38620,53584,91946,37549,50772,66519,27723,36084,53546,24647,27450,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,1644920,897572,673215,48676,1558993,905109,634899,1646793,997773,629428,1578769,857488,693826,1459525,816015,561094,64452,1392614,735740,483109,139523,1616332,682318,578313,348771,1443394,676584,750241,1466900,569597,890877,1406285,541732,677210,171807,1381526,647895,719261,1384277,555498,810763,1256232,621561,556721,76650,1218578,826269,390996,1222883,657055,565813,15,1117121,405079,711837,205,1096911,481649,611012,883518,423297,437754,0,13713,831990,435146,390527,781502,417621,361819,690723,382129,278685,594183,281632,288420,20480,553124,252085,296641,400295,110184,246322,42416,365518,120721,229238,10350,213874,99786,106514,5179,190404,74561,68324,34129,10056,190003,68255,112915,5113,191128,72909,111089,4543,180195,74014,102572,174390,56740,110285,164595,82395,77032,809,153978,74920,74584,137257,67182,65898,132798,64411,67071,868,122134,61927,59033,96009,45695,50314,98632,47844,50788,86981,42288,44693,80745,17364,43486,16558,3337,80329,34997,42717,2615,66781,33249,30359,3161,62398,27051,30318,5005,64616,29841,32832,1943,56879,25281,31598,38093,19294,18799,0,0,32833,11269,18155,3409,19378,4448,13829
