Year,Candidate,Party,State,Votes
2016,Total,Total,Nationwide,137098601
,"Clinton, Hillary",Democratic,Nationwide,65853625
,"Trump, Donald",Republican,Nationwide,62985106
,"Johnson, Gary",Libertarian,Nationwide,4489233
2012,Total,Total,Nationwide,129235558
,"Obama, Barack",Democratic,Nationwide,65918507
,"Romney, Mitt",Republican,Nationwide,60934407
2008,Total,Total,Nationwide,131473705
,"Obama, Barack",Democratic,Nationwide,69499428
,"McCain, John",Republican,Nationwide,59950323
2004,Total,Total,Nationwide,122303590
,"Kerry, John",Democratic,Nationwide,59027115
,"Bush, George W.",Republican,Nationwide,62039572
2000,Total,Total,Nationwide,105425985
,"Gore, Al",Democratic,Nationwide,51009810
,"Bush, George W.",Republican,Nationwide,50462412
,"Nader, Ralph",Green,Nationwide,2883443
1996,Total,Total,Nationwide,96275640
,"Clinton, Bill",Democratic,Nationwide,47400125
,"Dole, Bob",Republican,Nationwide,39198755
,"Perot, Ross",Reform,Nationwide,8085402
1992,Total,Total,Nationwide,104426611
,"Clinton, Bill",Democratic,Nationwide,44909806
,"Bush, George H.W.",Republican,Nationwide,39104550
,"Perot, Ross",Independent,Nationwide,19743821
1988,Total,Total,Nationwide,91594686
,"Dukakis, Michael",Democratic,Nationwide,41809476
,"Bush, George H.W.",Republican,Nationwide,48886597
1984,Total,Total,Nationwide,92653233
,"Mondale, Walter",Democratic,Nationwide,37577352
,"Reagan, Ronald",Republican,Nationwide,54455472
1980,Total,Total,Nationwide,86509678
,"Carter, Jimmy",Democratic,Nationwide,35480115
,"Reagan, Ronald",Republican,Nationwide,43903230
,"Anderson, John",Independent,Nationwide,5719850
1976,Total,Total,Nationwide,81540780
,"Carter, Jimmy",Democratic,Nationwide,40831881
,"Ford, Gerald",Republican,Nationwide,39148634
1972,Total,Total,Nationwide,77744030
,"McGovern, George",Democratic,Nationwide,29173222
,"Nixon, Richard",Republican,Nationwide,47168710
1968,Total,Total,Nationwide,73199999
,"Humphrey, Hubert",Democratic,Nationwide,31271839
,"Nixon, Richard",Republican,Nationwide,31783783
,"Wallace, George",American Independent,Nationwide,9901118
1964,Total,Total,Nationwide,70641539
,"Johnson, Lyndon (LBJ)",Democratic,Nationwide,43129040
,"Goldwater, Barry",Republican,Nationwide,27175754
1960,Total,Total,Nationwide,68832483
,"Kennedy, Jack (JFK)",Democratic,Nationwide,34220984
,"Nixon, Richard",Republican,Nationwide,34108157
,"Other (Unpledge Democratic, etc.)","Other (Unpledge Democratic, etc.)",Nationwide,503342
1956,Total,Total,Nationwide,62021979
,"Stevenson, Adlai",Democratic,Nationwide,26028028
,"Eisenhower, Dwight",Republican,Nationwide,35579180
,"Other (Unpledged Democratic, etc.)","Other (Unpledged Democratic, etc.)",Nationwide,414771
1952,Total,Total,Nationwide,61751942
,"Stevenson, Adlai",Democratic,Nationwide,27375090
,"Eisenhower, Dwight",Republican,Nationwide,34075529
1948,Total,Total,Nationwide,48794710
,"Truman, Harry",Democratic,Nationwide,24179347
,"Dewey, Thomas",Republican,Nationwide,21991292
,"Thurmond, Strom","States' Rights ""Dixiecrat""",Nationwide,1175946
,"Wallace, Henry",Progressive,Nationwide,1157328
1944,Total,Total,Nationwide,47977092
,"Roosevelt, Franklin (FDR)",Democratic,Nationwide,25612916
,"Dewey, Thomas",Republican,Nationwide,22017929
1940,Total,Total,Nationwide,49912852
,"Roosevelt, Franklin (FDR)",Democratic,Nationwide,27314449
,"Wilkie, Wendell",Republican,Nationwide,22348343
1936,Total,Total,Nationwide,45654388
,"Roosevelt, Franklin (FDR)",Democratic,Nationwide,27757431
,"Landon, Alf",Republican,Nationwide,16683574
1932,Total,Total,Nationwide,39752454
,"Roosevelt, Franklin (FDR)",Democratic,Nationwide,22821513
,"Hoover, Herbert",Republican,Nationwide,15761532
,"Thomas, Norman",Socialist,Nationwide,884895
1928,Total,Total,Nationwide,36808961
,"Smith, Al",Democratic,Nationwide,15015863
,"Hoover, Herbert",Republican,Nationwide,21428584
1924,Total,Total,Nationwide,29092624
,"Davis, John",Democratic,Nationwide,8384341
,"Coolidge, Calvin",Republican,Nationwide,15719068
,"LaFollette, Robert",Progressive,Nationwide,4833821
